run_id,stage,family,instance,policy,solver,gap,seed,record,outcome,infrastructure_failure,status
repl-cplex-instance022-Flat-L2-g0.01,replication,SG-Ter-Mer,instance022,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance022-Base-g0.01,replication,SG-Ter-Mer,instance022,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance022-Flat-GM-g0.01,replication,SG-Ter-Mer,instance022,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance022-Role-Hybrid-g0.01,replication,SG-Ter-Mer,instance022,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance022-Role-Hybrid-g0.001,replication,SG-Ter-Mer,instance022,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance022-Base-g0.001,replication,SG-Ter-Mer,instance022,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance022-Flat-L2-g0.001,replication,SG-Ter-Mer,instance022,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance022-Flat-GM-g0.001,replication,SG-Ter-Mer,instance022,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance027-Flat-L2-g0.01,replication,SG-Ter-Mer,instance027,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance027-Role-Hybrid-g0.01,replication,SG-Ter-Mer,instance027,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance027-Flat-GM-g0.01,replication,SG-Ter-Mer,instance027,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance027-Base-g0.01,replication,SG-Ter-Mer,instance027,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance027-Role-Hybrid-g0.001,replication,SG-Ter-Mer,instance027,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance027-Base-g0.001,replication,SG-Ter-Mer,instance027,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance027-Flat-L2-g0.001,replication,SG-Ter-Mer,instance027,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance027-Flat-GM-g0.001,replication,SG-Ter-Mer,instance027,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance031-Flat-L2-g0.01,replication,SG-Ter-Mer,instance031,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance031-Role-Hybrid-g0.01,replication,SG-Ter-Mer,instance031,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance031-Base-g0.01,replication,SG-Ter-Mer,instance031,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance031-Flat-GM-g0.01,replication,SG-Ter-Mer,instance031,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance031-Role-Hybrid-g0.001,replication,SG-Ter-Mer,instance031,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance031-Base-g0.001,replication,SG-Ter-Mer,instance031,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance031-Flat-GM-g0.001,replication,SG-Ter-Mer,instance031,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance031-Flat-L2-g0.001,replication,SG-Ter-Mer,instance031,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance042-Flat-L2-g0.01,replication,SG-Ter-Mer,instance042,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance042-Role-Hybrid-g0.01,replication,SG-Ter-Mer,instance042,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance042-Flat-GM-g0.01,replication,SG-Ter-Mer,instance042,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
