stage,family,solver,gap,seed,instance,policies,max_rel_objective_gap,worst_policy,above_target_gap
primary,Simple,cplex,0.01,1,v1_simple_000186,4,0.00020836484171387855,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000187,4,0.009107669391495786,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000188,4,4.0219219768423405e-05,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000189,4,0.0018146958407148502,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000190,4,1.2626338139526993e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000191,4,0.007523358244943869,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000192,4,1.401590113138811e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000193,4,0.0028058825428562595,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000194,4,6.692970268999734e-05,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000195,4,7.364563677803701e-05,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000196,4,0.0010021330672070965,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000197,4,0.0007097852681710108,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000198,4,0.0005069555189184943,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000199,4,8.782978090047494e-05,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000200,4,0.0,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000201,4,0.008045971645827836,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000202,4,0.004694947313496115,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000205,4,1.82532548407403e-05,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000206,4,3.42704518916408e-07,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000207,4,5.016757075929243e-09,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000208,4,3.930528940131574e-10,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000209,4,0.005865198964097983,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000210,4,0.0001895189856055975,Flat-L2,False
